city,time,pm2_5,pm10,ozone
Bengaluru,2025-12-11 00:00:00+00:00,50.9,53.3,119
Bengaluru,2025-12-11 01:00:00+00:00,53.9,56.2,120
Bengaluru,2025-12-11 02:00:00+00:00,57.5,59.8,120
Bengaluru,2025-12-11 03:00:00+00:00,58.2,60.8,123
Bengaluru,2025-12-11 04:00:00+00:00,53.4,56.7,135
Bengaluru,2025-12-11 05:00:00+00:00,45.5,48.4,150
Bengaluru,2025-12-11 06:00:00+00:00,40.7,43.1,160
Bengaluru,2025-12-11 07:00:00+00:00,38.2,40.2,161
Bengaluru,2025-12-11 08:00:00+00:00,36.4,38.5,157
Bengaluru,2025-12-11 09:00:00+00:00,36.2,38.3,150
Bengaluru,2025-12-11 10:00:00+00:00,36.8,38.9,141
Bengaluru,2025-12-11 11:00:00+00:00,38.3,40.2,129
Bengaluru,2025-12-11 12:00:00+00:00,41.9,43.4,116
Bengaluru,2025-12-11 13:00:00+00:00,47.0,48.2,101
Bengaluru,2025-12-11 14:00:00+00:00,50.5,51.6,86
Bengaluru,2025-12-11 15:00:00+00:00,51.8,53.0,75
Bengaluru,2025-12-11 16:00:00+00:00,52.4,53.4,72
Bengaluru,2025-12-11 17:00:00+00:00,52.5,53.7,73
Bengaluru,2025-12-11 18:00:00+00:00,51.7,52.9,75
Bengaluru,2025-12-11 19:00:00+00:00,50.4,51.7,76
Bengaluru,2025-12-11 20:00:00+00:00,49.8,51.1,77
Bengaluru,2025-12-11 21:00:00+00:00,49.6,51.1,82
Bengaluru,2025-12-11 22:00:00+00:00,50.6,52.2,93
Bengaluru,2025-12-11 23:00:00+00:00,55.2,57.0,106
Delhi,2025-12-11 00:00:00+00:00,105.2,106.2,45
Delhi,2025-12-11 01:00:00+00:00,110.1,111.1,37
Delhi,2025-12-11 02:00:00+00:00,124.3,125.3,28
Delhi,2025-12-11 03:00:00+00:00,130.4,131.3,36
Delhi,2025-12-11 04:00:00+00:00,123.9,124.3,79
Delhi,2025-12-11 05:00:00+00:00,110.8,111.5,139
Delhi,2025-12-11 06:00:00+00:00,90.3,91.0,183
Delhi,2025-12-11 07:00:00+00:00,71.2,71.9,199
Delhi,2025-12-11 08:00:00+00:00,61.7,62.2,199
Delhi,2025-12-11 09:00:00+00:00,55.5,56.0,188
Delhi,2025-12-11 10:00:00+00:00,52.0,52.5,163
Delhi,2025-12-11 11:00:00+00:00,55.1,55.4,126
Delhi,2025-12-11 12:00:00+00:00,69.6,69.8,94
Delhi,2025-12-11 13:00:00+00:00,85.2,85.4,70
Delhi,2025-12-11 14:00:00+00:00,96.4,96.9,49
Delhi,2025-12-11 15:00:00+00:00,107.8,108.3,34
Delhi,2025-12-11 16:00:00+00:00,121.1,121.5,27
Delhi,2025-12-11 17:00:00+00:00,133.6,134.1,25
Delhi,2025-12-11 18:00:00+00:00,138.3,138.8,24
Delhi,2025-12-11 19:00:00+00:00,135.5,136.0,24
Delhi,2025-12-11 20:00:00+00:00,132.2,132.7,24
Delhi,2025-12-11 21:00:00+00:00,131.8,132.2,24
Delhi,2025-12-11 22:00:00+00:00,132.2,133.2,22
Delhi,2025-12-11 23:00:00+00:00,133.2,134.1,18
Hyderabad,2025-12-11 00:00:00+00:00,29.5,30.4,92
Hyderabad,2025-12-11 01:00:00+00:00,29.0,29.7,86
Hyderabad,2025-12-11 02:00:00+00:00,30.2,30.7,79
Hyderabad,2025-12-11 03:00:00+00:00,27.1,27.4,82
Hyderabad,2025-12-11 04:00:00+00:00,21.7,22.0,105
Hyderabad,2025-12-11 05:00:00+00:00,18.5,18.9,139
Hyderabad,2025-12-11 06:00:00+00:00,16.8,17.2,163
Hyderabad,2025-12-11 07:00:00+00:00,16.3,16.6,171
Hyderabad,2025-12-11 08:00:00+00:00,15.7,16.0,169
Hyderabad,2025-12-11 09:00:00+00:00,15.0,15.3,163
Hyderabad,2025-12-11 10:00:00+00:00,14.6,15.0,152
Hyderabad,2025-12-11 11:00:00+00:00,14.6,15.0,136
Hyderabad,2025-12-11 12:00:00+00:00,18.1,18.4,119
Hyderabad,2025-12-11 13:00:00+00:00,24.0,24.3,102
Hyderabad,2025-12-11 14:00:00+00:00,27.8,28.2,84
Hyderabad,2025-12-11 15:00:00+00:00,30.3,30.7,72
Hyderabad,2025-12-11 16:00:00+00:00,32.5,32.9,68
Hyderabad,2025-12-11 17:00:00+00:00,34.9,35.5,68
Hyderabad,2025-12-11 18:00:00+00:00,36.6,37.3,70
Hyderabad,2025-12-11 19:00:00+00:00,36.8,37.6,72
Hyderabad,2025-12-11 20:00:00+00:00,37.0,38.0,74
Hyderabad,2025-12-11 21:00:00+00:00,37.4,38.4,77
Hyderabad,2025-12-11 22:00:00+00:00,37.1,38.3,80
Hyderabad,2025-12-11 23:00:00+00:00,36.9,38.2,82
Kolkata,2025-12-11 00:00:00+00:00,187.2,190.5,44
Kolkata,2025-12-11 01:00:00+00:00,183.9,186.3,57
Kolkata,2025-12-11 02:00:00+00:00,176.0,178.3,76
Kolkata,2025-12-11 03:00:00+00:00,167.2,169.0,102
Kolkata,2025-12-11 04:00:00+00:00,154.6,156.9,142
Kolkata,2025-12-11 05:00:00+00:00,127.6,131.3,189
Kolkata,2025-12-11 06:00:00+00:00,90.6,96.6,223
Kolkata,2025-12-11 07:00:00+00:00,82.0,88.5,236
Kolkata,2025-12-11 08:00:00+00:00,78.5,84.8,236
Kolkata,2025-12-11 09:00:00+00:00,77.3,83.6,226
Kolkata,2025-12-11 10:00:00+00:00,77.1,82.9,204
Kolkata,2025-12-11 11:00:00+00:00,95.5,100.1,173
Kolkata,2025-12-11 12:00:00+00:00,120.6,125.7,142
Kolkata,2025-12-11 13:00:00+00:00,145.3,149.9,114
Kolkata,2025-12-11 14:00:00+00:00,165.8,170.4,87
Kolkata,2025-12-11 15:00:00+00:00,181.1,185.8,65
Kolkata,2025-12-11 16:00:00+00:00,193.2,197.9,51
Kolkata,2025-12-11 17:00:00+00:00,201.6,206.3,41
Kolkata,2025-12-11 18:00:00+00:00,205.8,210.5,34
Kolkata,2025-12-11 19:00:00+00:00,209.1,213.3,28
Kolkata,2025-12-11 20:00:00+00:00,210.5,214.7,23
Kolkata,2025-12-11 21:00:00+00:00,209.5,213.7,20
Kolkata,2025-12-11 22:00:00+00:00,209.1,212.8,14
Kolkata,2025-12-11 23:00:00+00:00,209.1,212.8,9
Mumbai,2025-12-11 00:00:00+00:00,30.7,30.7,26
Mumbai,2025-12-11 01:00:00+00:00,29.8,29.9,23
Mumbai,2025-12-11 02:00:00+00:00,32.2,32.4,24
Mumbai,2025-12-11 03:00:00+00:00,36.2,36.3,40
Mumbai,2025-12-11 04:00:00+00:00,38.8,38.8,84
Mumbai,2025-12-11 05:00:00+00:00,39.7,39.7,143
Mumbai,2025-12-11 06:00:00+00:00,38.6,38.6,198
Mumbai,2025-12-11 07:00:00+00:00,40.2,40.2,248
Mumbai,2025-12-11 08:00:00+00:00,47.4,47.4,292
Mumbai,2025-12-11 09:00:00+00:00,49.5,49.7,313
Mumbai,2025-12-11 10:00:00+00:00,47.8,48.3,293
Mumbai,2025-12-11 11:00:00+00:00,43.7,44.4,250
Mumbai,2025-12-11 12:00:00+00:00,35.5,36.3,209
Mumbai,2025-12-11 13:00:00+00:00,27.4,28.5,181
Mumbai,2025-12-11 14:00:00+00:00,23.3,24.5,156
Mumbai,2025-12-11 15:00:00+00:00,23.6,24.6,135
Mumbai,2025-12-11 16:00:00+00:00,26.7,27.5,117
Mumbai,2025-12-11 17:00:00+00:00,30.4,31.0,103
Mumbai,2025-12-11 18:00:00+00:00,33.2,33.5,90
Mumbai,2025-12-11 19:00:00+00:00,32.5,32.6,79
Mumbai,2025-12-11 20:00:00+00:00,30.6,30.7,71
Mumbai,2025-12-11 21:00:00+00:00,28.8,28.9,63
Mumbai,2025-12-11 22:00:00+00:00,27.6,27.8,56
Mumbai,2025-12-11 23:00:00+00:00,27.0,27.2,50
Bengaluru,2025-12-11 00:00:00+00:00,50.9,53.3,119
Bengaluru,2025-12-11 01:00:00+00:00,53.9,56.2,120
Bengaluru,2025-12-11 02:00:00+00:00,57.5,59.8,120
Bengaluru,2025-12-11 03:00:00+00:00,58.2,60.8,123
Bengaluru,2025-12-11 04:00:00+00:00,53.4,56.7,135
Bengaluru,2025-12-11 05:00:00+00:00,45.5,48.4,150
Bengaluru,2025-12-11 06:00:00+00:00,40.7,43.1,160
Bengaluru,2025-12-11 07:00:00+00:00,38.2,40.2,161
Bengaluru,2025-12-11 08:00:00+00:00,36.4,38.5,157
Bengaluru,2025-12-11 09:00:00+00:00,36.2,38.3,150
Bengaluru,2025-12-11 10:00:00+00:00,36.8,38.9,141
Bengaluru,2025-12-11 11:00:00+00:00,38.3,40.2,129
Bengaluru,2025-12-11 12:00:00+00:00,41.9,43.4,116
Bengaluru,2025-12-11 13:00:00+00:00,47.0,48.2,101
Bengaluru,2025-12-11 14:00:00+00:00,50.5,51.6,86
Bengaluru,2025-12-11 15:00:00+00:00,51.8,53.0,75
Bengaluru,2025-12-11 16:00:00+00:00,52.4,53.4,72
Bengaluru,2025-12-11 17:00:00+00:00,52.5,53.7,73
Bengaluru,2025-12-11 18:00:00+00:00,51.7,52.9,75
Bengaluru,2025-12-11 19:00:00+00:00,50.4,51.7,76
Bengaluru,2025-12-11 20:00:00+00:00,49.8,51.1,77
Bengaluru,2025-12-11 21:00:00+00:00,49.6,51.1,82
Bengaluru,2025-12-11 22:00:00+00:00,50.6,52.2,93
Bengaluru,2025-12-11 23:00:00+00:00,55.2,57.0,106
Bengaluru,2025-12-11 00:00:00+00:00,50.9,53.3,119
Bengaluru,2025-12-11 01:00:00+00:00,53.9,56.2,120
Bengaluru,2025-12-11 02:00:00+00:00,57.5,59.8,120
Bengaluru,2025-12-11 03:00:00+00:00,58.2,60.8,123
Bengaluru,2025-12-11 04:00:00+00:00,53.4,56.7,135
Bengaluru,2025-12-11 05:00:00+00:00,45.5,48.4,150
Bengaluru,2025-12-11 06:00:00+00:00,40.7,43.1,160
Bengaluru,2025-12-11 07:00:00+00:00,38.2,40.2,161
Bengaluru,2025-12-11 08:00:00+00:00,36.4,38.5,157
Bengaluru,2025-12-11 09:00:00+00:00,36.2,38.3,150
Bengaluru,2025-12-11 10:00:00+00:00,36.8,38.9,141
Bengaluru,2025-12-11 11:00:00+00:00,38.3,40.2,129
Bengaluru,2025-12-11 12:00:00+00:00,41.9,43.4,116
Bengaluru,2025-12-11 13:00:00+00:00,47.0,48.2,101
Bengaluru,2025-12-11 14:00:00+00:00,50.5,51.6,86
Bengaluru,2025-12-11 15:00:00+00:00,51.8,53.0,75
Bengaluru,2025-12-11 16:00:00+00:00,52.4,53.4,72
Bengaluru,2025-12-11 17:00:00+00:00,52.5,53.7,73
Bengaluru,2025-12-11 18:00:00+00:00,51.7,52.9,75
Bengaluru,2025-12-11 19:00:00+00:00,50.4,51.7,76
Bengaluru,2025-12-11 20:00:00+00:00,49.8,51.1,77
Bengaluru,2025-12-11 21:00:00+00:00,49.6,51.1,82
Bengaluru,2025-12-11 22:00:00+00:00,50.6,52.2,93
Bengaluru,2025-12-11 23:00:00+00:00,55.2,57.0,106
Delhi,2025-12-11 00:00:00+00:00,105.2,106.2,45
Delhi,2025-12-11 01:00:00+00:00,110.1,111.1,37
Delhi,2025-12-11 02:00:00+00:00,124.3,125.3,28
Delhi,2025-12-11 03:00:00+00:00,130.4,131.3,36
Delhi,2025-12-11 04:00:00+00:00,123.9,124.3,79
Delhi,2025-12-11 05:00:00+00:00,110.8,111.5,139
Delhi,2025-12-11 06:00:00+00:00,90.3,91.0,183
Delhi,2025-12-11 07:00:00+00:00,71.2,71.9,199
Delhi,2025-12-11 08:00:00+00:00,61.7,62.2,199
Delhi,2025-12-11 09:00:00+00:00,55.5,56.0,188
Delhi,2025-12-11 10:00:00+00:00,52.0,52.5,163
Delhi,2025-12-11 11:00:00+00:00,55.1,55.4,126
Delhi,2025-12-11 12:00:00+00:00,69.6,69.8,94
Delhi,2025-12-11 13:00:00+00:00,85.2,85.4,70
Delhi,2025-12-11 14:00:00+00:00,96.4,96.9,49
Delhi,2025-12-11 15:00:00+00:00,107.8,108.3,34
Delhi,2025-12-11 16:00:00+00:00,121.1,121.5,27
Delhi,2025-12-11 17:00:00+00:00,133.6,134.1,25
Delhi,2025-12-11 18:00:00+00:00,138.3,138.8,24
Delhi,2025-12-11 19:00:00+00:00,135.5,136.0,24
Delhi,2025-12-11 20:00:00+00:00,132.2,132.7,24
Delhi,2025-12-11 21:00:00+00:00,131.8,132.2,24
Delhi,2025-12-11 22:00:00+00:00,132.2,133.2,22
Delhi,2025-12-11 23:00:00+00:00,133.2,134.1,18
Delhi,2025-12-11 00:00:00+00:00,105.2,106.2,45
Delhi,2025-12-11 01:00:00+00:00,110.1,111.1,37
Delhi,2025-12-11 02:00:00+00:00,124.3,125.3,28
Delhi,2025-12-11 03:00:00+00:00,130.4,131.3,36
Delhi,2025-12-11 04:00:00+00:00,123.9,124.3,79
Delhi,2025-12-11 05:00:00+00:00,110.8,111.5,139
Delhi,2025-12-11 06:00:00+00:00,90.3,91.0,183
Delhi,2025-12-11 07:00:00+00:00,71.2,71.9,199
Delhi,2025-12-11 08:00:00+00:00,61.7,62.2,199
Delhi,2025-12-11 09:00:00+00:00,55.5,56.0,188
Delhi,2025-12-11 10:00:00+00:00,52.0,52.5,163
Delhi,2025-12-11 11:00:00+00:00,55.1,55.4,126
Delhi,2025-12-11 12:00:00+00:00,69.6,69.8,94
Delhi,2025-12-11 13:00:00+00:00,85.2,85.4,70
Delhi,2025-12-11 14:00:00+00:00,96.4,96.9,49
Delhi,2025-12-11 15:00:00+00:00,107.8,108.3,34
Delhi,2025-12-11 16:00:00+00:00,121.1,121.5,27
Delhi,2025-12-11 17:00:00+00:00,133.6,134.1,25
Delhi,2025-12-11 18:00:00+00:00,138.3,138.8,24
Delhi,2025-12-11 19:00:00+00:00,135.5,136.0,24
Delhi,2025-12-11 20:00:00+00:00,132.2,132.7,24
Delhi,2025-12-11 21:00:00+00:00,131.8,132.2,24
Delhi,2025-12-11 22:00:00+00:00,132.2,133.2,22
Delhi,2025-12-11 23:00:00+00:00,133.2,134.1,18
Hyderabad,2025-12-11 00:00:00+00:00,29.5,30.4,92
Hyderabad,2025-12-11 01:00:00+00:00,29.0,29.7,86
Hyderabad,2025-12-11 02:00:00+00:00,30.2,30.7,79
Hyderabad,2025-12-11 03:00:00+00:00,27.1,27.4,82
Hyderabad,2025-12-11 04:00:00+00:00,21.7,22.0,105
Hyderabad,2025-12-11 05:00:00+00:00,18.5,18.9,139
Hyderabad,2025-12-11 06:00:00+00:00,16.8,17.2,163
Hyderabad,2025-12-11 07:00:00+00:00,16.3,16.6,171
Hyderabad,2025-12-11 08:00:00+00:00,15.7,16.0,169
Hyderabad,2025-12-11 09:00:00+00:00,15.0,15.3,163
Hyderabad,2025-12-11 10:00:00+00:00,14.6,15.0,152
Hyderabad,2025-12-11 11:00:00+00:00,14.6,15.0,136
Hyderabad,2025-12-11 12:00:00+00:00,18.1,18.4,119
Hyderabad,2025-12-11 13:00:00+00:00,24.0,24.3,102
Hyderabad,2025-12-11 14:00:00+00:00,27.8,28.2,84
Hyderabad,2025-12-11 15:00:00+00:00,30.3,30.7,72
Hyderabad,2025-12-11 16:00:00+00:00,32.5,32.9,68
Hyderabad,2025-12-11 17:00:00+00:00,34.9,35.5,68
Hyderabad,2025-12-11 18:00:00+00:00,36.6,37.3,70
Hyderabad,2025-12-11 19:00:00+00:00,36.8,37.6,72
Hyderabad,2025-12-11 20:00:00+00:00,37.0,38.0,74
Hyderabad,2025-12-11 21:00:00+00:00,37.4,38.4,77
Hyderabad,2025-12-11 22:00:00+00:00,37.1,38.3,80
Hyderabad,2025-12-11 23:00:00+00:00,36.9,38.2,82
Hyderabad,2025-12-11 00:00:00+00:00,29.5,30.4,92
Hyderabad,2025-12-11 01:00:00+00:00,29.0,29.7,86
Hyderabad,2025-12-11 02:00:00+00:00,30.2,30.7,79
Hyderabad,2025-12-11 03:00:00+00:00,27.1,27.4,82
Hyderabad,2025-12-11 04:00:00+00:00,21.7,22.0,105
Hyderabad,2025-12-11 05:00:00+00:00,18.5,18.9,139
Hyderabad,2025-12-11 06:00:00+00:00,16.8,17.2,163
Hyderabad,2025-12-11 07:00:00+00:00,16.3,16.6,171
Hyderabad,2025-12-11 08:00:00+00:00,15.7,16.0,169
Hyderabad,2025-12-11 09:00:00+00:00,15.0,15.3,163
Hyderabad,2025-12-11 10:00:00+00:00,14.6,15.0,152
Hyderabad,2025-12-11 11:00:00+00:00,14.6,15.0,136
Hyderabad,2025-12-11 12:00:00+00:00,18.1,18.4,119
Hyderabad,2025-12-11 13:00:00+00:00,24.0,24.3,102
Hyderabad,2025-12-11 14:00:00+00:00,27.8,28.2,84
Hyderabad,2025-12-11 15:00:00+00:00,30.3,30.7,72
Hyderabad,2025-12-11 16:00:00+00:00,32.5,32.9,68
Hyderabad,2025-12-11 17:00:00+00:00,34.9,35.5,68
Hyderabad,2025-12-11 18:00:00+00:00,36.6,37.3,70
Hyderabad,2025-12-11 19:00:00+00:00,36.8,37.6,72
Hyderabad,2025-12-11 20:00:00+00:00,37.0,38.0,74
Hyderabad,2025-12-11 21:00:00+00:00,37.4,38.4,77
Hyderabad,2025-12-11 22:00:00+00:00,37.1,38.3,80
Hyderabad,2025-12-11 23:00:00+00:00,36.9,38.2,82
Kolkata,2025-12-11 00:00:00+00:00,187.2,190.5,44
Kolkata,2025-12-11 01:00:00+00:00,183.9,186.3,57
Kolkata,2025-12-11 02:00:00+00:00,176.0,178.3,76
Kolkata,2025-12-11 03:00:00+00:00,167.2,169.0,102
Kolkata,2025-12-11 04:00:00+00:00,154.6,156.9,142
Kolkata,2025-12-11 05:00:00+00:00,127.6,131.3,189
Kolkata,2025-12-11 06:00:00+00:00,90.6,96.6,223
Kolkata,2025-12-11 07:00:00+00:00,82.0,88.5,236
Kolkata,2025-12-11 08:00:00+00:00,78.5,84.8,236
Kolkata,2025-12-11 09:00:00+00:00,77.3,83.6,226
Kolkata,2025-12-11 10:00:00+00:00,77.1,82.9,204
Kolkata,2025-12-11 11:00:00+00:00,95.5,100.1,173
Kolkata,2025-12-11 12:00:00+00:00,120.6,125.7,142
Kolkata,2025-12-11 13:00:00+00:00,145.3,149.9,114
Kolkata,2025-12-11 14:00:00+00:00,165.8,170.4,87
Kolkata,2025-12-11 15:00:00+00:00,181.1,185.8,65
Kolkata,2025-12-11 16:00:00+00:00,193.2,197.9,51
Kolkata,2025-12-11 17:00:00+00:00,201.6,206.3,41
Kolkata,2025-12-11 18:00:00+00:00,205.8,210.5,34
Kolkata,2025-12-11 19:00:00+00:00,209.1,213.3,28
Kolkata,2025-12-11 20:00:00+00:00,210.5,214.7,23
Kolkata,2025-12-11 21:00:00+00:00,209.5,213.7,20
Kolkata,2025-12-11 22:00:00+00:00,209.1,212.8,14
Kolkata,2025-12-11 23:00:00+00:00,209.1,212.8,9
Kolkata,2025-12-11 00:00:00+00:00,187.2,190.5,44
Kolkata,2025-12-11 01:00:00+00:00,183.9,186.3,57
Kolkata,2025-12-11 02:00:00+00:00,176.0,178.3,76
Kolkata,2025-12-11 03:00:00+00:00,167.2,169.0,102
Kolkata,2025-12-11 04:00:00+00:00,154.6,156.9,142
Kolkata,2025-12-11 05:00:00+00:00,127.6,131.3,189
Kolkata,2025-12-11 06:00:00+00:00,90.6,96.6,223
Kolkata,2025-12-11 07:00:00+00:00,82.0,88.5,236
Kolkata,2025-12-11 08:00:00+00:00,78.5,84.8,236
Kolkata,2025-12-11 09:00:00+00:00,77.3,83.6,226
Kolkata,2025-12-11 10:00:00+00:00,77.1,82.9,204
Kolkata,2025-12-11 11:00:00+00:00,95.5,100.1,173
Kolkata,2025-12-11 12:00:00+00:00,120.6,125.7,142
Kolkata,2025-12-11 13:00:00+00:00,145.3,149.9,114
Kolkata,2025-12-11 14:00:00+00:00,165.8,170.4,87
Kolkata,2025-12-11 15:00:00+00:00,181.1,185.8,65
Kolkata,2025-12-11 16:00:00+00:00,193.2,197.9,51
Kolkata,2025-12-11 17:00:00+00:00,201.6,206.3,41
Kolkata,2025-12-11 18:00:00+00:00,205.8,210.5,34
Kolkata,2025-12-11 19:00:00+00:00,209.1,213.3,28
Kolkata,2025-12-11 20:00:00+00:00,210.5,214.7,23
Kolkata,2025-12-11 21:00:00+00:00,209.5,213.7,20
Kolkata,2025-12-11 22:00:00+00:00,209.1,212.8,14
Kolkata,2025-12-11 23:00:00+00:00,209.1,212.8,9
Mumbai,2025-12-11 00:00:00+00:00,30.7,30.7,26
Mumbai,2025-12-11 01:00:00+00:00,29.8,29.9,23
Mumbai,2025-12-11 02:00:00+00:00,32.2,32.4,24
Mumbai,2025-12-11 03:00:00+00:00,36.2,36.3,40
Mumbai,2025-12-11 04:00:00+00:00,38.8,38.8,84
Mumbai,2025-12-11 05:00:00+00:00,39.7,39.7,143
Mumbai,2025-12-11 06:00:00+00:00,38.6,38.6,198
Mumbai,2025-12-11 07:00:00+00:00,40.2,40.2,248
Mumbai,2025-12-11 08:00:00+00:00,47.4,47.4,292
Mumbai,2025-12-11 09:00:00+00:00,49.5,49.7,313
Mumbai,2025-12-11 10:00:00+00:00,47.8,48.3,293
Mumbai,2025-12-11 11:00:00+00:00,43.7,44.4,250
Mumbai,2025-12-11 12:00:00+00:00,35.5,36.3,209
Mumbai,2025-12-11 13:00:00+00:00,27.4,28.5,181
Mumbai,2025-12-11 14:00:00+00:00,23.3,24.5,156
Mumbai,2025-12-11 15:00:00+00:00,23.6,24.6,135
Mumbai,2025-12-11 16:00:00+00:00,26.7,27.5,117
Mumbai,2025-12-11 17:00:00+00:00,30.4,31.0,103
Mumbai,2025-12-11 18:00:00+00:00,33.2,33.5,90
Mumbai,2025-12-11 19:00:00+00:00,32.5,32.6,79
Mumbai,2025-12-11 20:00:00+00:00,30.6,30.7,71
Mumbai,2025-12-11 21:00:00+00:00,28.8,28.9,63
Mumbai,2025-12-11 22:00:00+00:00,27.6,27.8,56
Mumbai,2025-12-11 23:00:00+00:00,27.0,27.2,50
Mumbai,2025-12-11 00:00:00+00:00,30.7,30.7,26
Mumbai,2025-12-11 01:00:00+00:00,29.8,29.9,23
Mumbai,2025-12-11 02:00:00+00:00,32.2,32.4,24
Mumbai,2025-12-11 03:00:00+00:00,36.2,36.3,40
Mumbai,2025-12-11 04:00:00+00:00,38.8,38.8,84
Mumbai,2025-12-11 05:00:00+00:00,39.7,39.7,143
Mumbai,2025-12-11 06:00:00+00:00,38.6,38.6,198
Mumbai,2025-12-11 07:00:00+00:00,40.2,40.2,248
Mumbai,2025-12-11 08:00:00+00:00,47.4,47.4,292
Mumbai,2025-12-11 09:00:00+00:00,49.5,49.7,313
Mumbai,2025-12-11 10:00:00+00:00,47.8,48.3,293
Mumbai,2025-12-11 11:00:00+00:00,43.7,44.4,250
Mumbai,2025-12-11 12:00:00+00:00,35.5,36.3,209
Mumbai,2025-12-11 13:00:00+00:00,27.4,28.5,181
Mumbai,2025-12-11 14:00:00+00:00,23.3,24.5,156
Mumbai,2025-12-11 15:00:00+00:00,23.6,24.6,135
Mumbai,2025-12-11 16:00:00+00:00,26.7,27.5,117
Mumbai,2025-12-11 17:00:00+00:00,30.4,31.0,103
Mumbai,2025-12-11 18:00:00+00:00,33.2,33.5,90
Mumbai,2025-12-11 19:00:00+00:00,32.5,32.6,79
Mumbai,2025-12-11 20:00:00+00:00,30.6,30.7,71
Mumbai,2025-12-11 21:00:00+00:00,28.8,28.9,63
Mumbai,2025-12-11 22:00:00+00:00,27.6,27.8,56
Mumbai,2025-12-11 23:00:00+00:00,27.0,27.2,50
